145200000;145299999;99902034;NUMBER3
145210000;145219999;99900344;NUMBER4
145230000;145239999;99900521;NUMBER6
145230000;145239999;99902052;TEXT1
145200000;145299999;99901371;TEXT2
145200000;145299999;99902054;TEXT3
145200000;145299999;99900114;TEXT4
145200000;145299999;99902053;TEXT5
145200000;145299999;99900697;BOOL2
145220000;145229999;99902051;NUMBER5
145300000;145399999;99901891;NUMBER1
145300000;145399999;99902097;BOOL3
145300000;145399999;99902095;BOOL4
145300000;145399999;99902094;BOOL5
145300000;145399999;99902096;BOOL6
145300000;145399999;99900697;BOOL2
145300000;145399999;99902091;NUMBER2
145300000;145399999;99902092;NUMBER3
145300000;145399999;99902093;NUMBER4
2001;2001;99902131;TEXT1
2001;2001;99902271;TEXT2
2005;2005;99902312;NUMBER1
2005;2005;99902332;TEXT1
145240000;145249999;99902052;TEXT1
145262000;145262000;99900521;TEXT1
145263000;145264000;99902052;TEXT1
2007;2007;99902312;NUMBER1
145200000;145299999;99902492;TEXT7
145500000;145510000;99900956;NUMBER2
