50096914;Pantum;PANTUM;0;2;OEM
20000316;Colorspan;COLORSPAN;20000868;3;OEM
20000672;General Computer Corp;GENERAL COMPUTER CORP;20000662;3;OEM
20000715;Harris;HARRIS;20000002;3;OEM
20001615;CPG;CPG;20000344;3;OEM
20002449;Honeywell;HONEYWELL;20000243;2;OEM
20001012;Murata;MURATA;20001013;3;OEM
20001089;Output Technology Corp;OUTPUT TECHNOLOGY CORP;20001086;3;OEM
20001188;Raven;RAVEN;20001218;3;OEM
20000492;DEC;DEC;20000530;3;OEM
20001229;Royal;ROYAL;20000037;3;OEM
20000036;Adler;ADLER;20000037;3;OEM
20001534;Printec;PRINTEC;20001145;3;OEM
20003289;Wincor;WINCOR;20001295;3;OEM
20003288;Siemens-Nixdorf;SIEMENS-NIXDORF;20001295;3;OEM
20000761;Image Systems;IMAGE SYSTEMS;20000252;3;OEM
20002128;Tally;TALLY;20000920;2;OEM
20000540;Docutel;DOCUTEL;20001076;3;OEM
20001183;Rank Xerox;RANK XEROX;20001535;3;OEM
20001045;Nixdorf;NIXDORF;20001295;2;OEM
20002248;T-COM;T-COM;20001400;3;OEM
50079862;Star;STAR;20001328;2;OEM
20000277;CBM;CBM;20000329;3;OEM
20001038;Nexxus;NEXXUS;20000068;3;OEM
20001394;Teknika;TEKNIKA;20000653;3;OEM
20001016;ALL;ALL;20000068;3;OEM
20000051;AEG;AEG;20001077;3;OEM
20001307;SNI AG;SNI AG;20001295;3;OEM
20001395;Xerox Tektronix;XEROX TEKTRONIX;20001535;3;OEM
20000295;CIE Terminals;CIE TERMINALS;20000252;3;OEM
20000907;LTE;LTE;20000861;3;OEM
20001015;MVB;MVB;20000302;3;OEM
20001426;TI;TI;20001421;3;OEM
20001617;Siemens;SIEMENS;20001295;3;OEM
20000678;Genicom;GENICOM;20000920;2;OEM
20000486;DBP;DBP;20001400;3;OEM
50078014;Seiko;SEIKO;20001279;3;OEM
20000519;Diconix;DICONIX;20000851;3;OEM
20000562;Eastman Kodak;EASTMAN KODAK;20000851;3;OEM
20001369;Mannesmann Tally;MANNESMANN TALLY;20000920;2;OEM
20001908;Okidata;OKIDATA;20001074;4;OEM
20001620;Tektronix;TEKTRONIX;20001535;3;OEM
20001019;Nashua;NASHUA;20001018;3;OEM
20001618;Mita;MITA;20000984;2;OEM
20001606;QMS;QMS;20001164;2;OEM
20001018;Nashuatec;NASHUATEC;20002389;1;OEM
20000854;Konica;KONICA;20001164;3;OEM
20001848;Minolta/QMS;MINOLTA/QMS;20001164;3;OEM
20000980;Minolta;MINOLTA;20001164;2;OEM
20000739;Hewlett Packard;HEWLETT PACKARD;20000728;3;OEM
