50047253;0;EAN;0883585617050;0883585617050
40074597;0;EAN;0883585287413;0883585287413
50012158;2;PARTNR;NO 23 SMALL;NO23SMALL
50015882;1;PARTNR;NO 12;NO12
50015885;1;PARTNR;NO 12;NO12
50016831;1;PARTNR;NO 83;NO83
50016833;1;PARTNR;NO 83;NO83
50016836;1;PARTNR;NO 83;NO83
50016838;1;PARTNR;NO 83;NO83
50015107;4;PARTNR;NO 56;NO56
50024514;1;PARTNR;NO 90;NO90
50024519;1;PARTNR;NO 90;NO90
50024521;1;PARTNR;NO 90;NO90
50024525;1;PARTNR;NO 90;NO90
50020922;1;PARTNR;NO 85;NO85
50020923;1;PARTNR;NO 85;NO85
50020925;1;PARTNR;NO 85;NO85
50031033;2;PARTNR;NO 56+57;NO5657
50026623;2;PARTNR;NO 13;NO13
50026624;2;PARTNR;NO 13;NO13
50026667;2;PARTNR;NO 56;NO56
50004875;2;PARTNR;NO 25;NO25
50004877;1;PARTNR;NO 26;NO26
50004905;1;PARTNR;NO 40;NO40
50004910;1;PARTNR;NO 44;NO44
50004916;2;PARTNR;NO 49;NO49
50004918;1;PARTNR;NO 50;NO50
50024528;1;PARTNR;NO 90;NO90
50024530;1;PARTNR;NO 90;NO90
50029641;1;PARTNR;NO 790;NO790
50039254;1;PARTNR;NO 72;NO72
50039258;1;PARTNR;NO 72;NO72
50039262;1;PARTNR;NO 72;NO72
50013758;2;PARTNR;NO 11;NO11
50014853;1;PARTNR;NO 84;NO84
50014518;2;PARTNR;NO 14;NO14
50004965;1;PARTNR;NO 07;NO07
50004968;2;PARTNR;NO 16;NO16
50004981;1;PARTNR;NO 93;NO93
50029643;1;PARTNR;NO 790;NO790
50029645;1;PARTNR;NO 790;NO790
50029649;1;PARTNR;NO 780;NO780
50014520;2;PARTNR;NO 14;NO14
50014522;2;PARTNR;NO 14;NO14
50014536;1;PARTNR;NO 83;NO83
50014538;1;PARTNR;NO 83;NO83
50014540;1;PARTNR;NO 83;NO83
50019586;2;PARTNR;NO 59;NO59
50055629;1;PARTNR;NO 344;NO344
50039265;1;PARTNR;NO 72;NO72
50039282;1;PARTNR;NO 91;NO91
50039284;1;PARTNR;NO 91;NO91
50039287;1;PARTNR;NO 91;NO91
50039291;1;PARTNR;NO 91;NO91
50039293;1;PARTNR;NO 91;NO91
50039296;1;PARTNR;NO 91;NO91
50039300;1;PARTNR;NO 91;NO91
50039302;1;PARTNR;NO 91;NO91
50030556;1;PARTNR;NO 38;NO38
50030560;1;PARTNR;NO 38;NO38
50021927;3;PARTNR;NO 338;NO338
50021928;3;PARTNR;NO 339;NO339
50021931;2;PARTNR;NO 100;NO100
50027351;2;PARTNR;NO 339;NO339
50027440;3;PARTNR;NO 337;NO337
50064321;5;PARTNR;NO 21 XL;NO21XL
50023455;1;PARTNR;NO 84;NO84
50023458;1;PARTNR;NO 85;NO85
50023459;1;PARTNR;NO 85;NO85
50034134;1;PARTNR;NO 70;NO70
50034136;1;PARTNR;NO 70;NO70
50034142;1;PARTNR;NO 25;NO25
50034145;1;PARTNR;NO 15;NO15
50060037;5;PARTNR;NO 22 XL;NO22XL
50028629;2;PARTNR;NO 343;NO343
50032975;0;EAN;0725184825996;0725184825996
50137387;0;PARTNR;126A;126A
40080235;0;EAN;0883585430031;0883585430031
50005013;0;EAN;0088698123041;0088698123041
50050526;0;EAN;0883585617067;0883585617067
50015748;0;EAN;0088698603703;0088698603703
50013168;0;EAN;0088698980453;0088698980453
50032985;0;EAN;0725184826139;0725184826139
40071007;0;EAN;0883585504459;0883585504459
50033033;0;EAN;0088698043691;0088698043691
40071622;0;EAN;0883585123568;0883585123568
50122459;0;ARTNR;CF 040 A;CF040A
50032912;0;EAN;0088698886731;0088698886731
50015194;0;EAN;0725184634444;0725184634444
50039298;0;EAN;0883585034871;0883585034871
40095300;0;EAN;0883585617364;0883585617364
50042969;0;EAN;0883585254637;0883585254637
50004970;0;EAN;0088698707371;0088698707371
50124730;0;EAN;0088698229101;0088698229101
50046191;0;EAN;0883585945016;0883585945016
40056462;0;EAN;0088698495704;0088698495704
40087882;0;EAN;0883585970827;0883585970827
50047282;0;EAN;0883585706006;0883585706006
50013759;2;PARTNR;NO 11;NO11
50013251;2;PARTNR;NO 19;NO19
40097741;0;EAN;0883585799985;0883585799985
50122869;0;ARTNR;CF 210 XD;CF210XD
50122869;0;PARTNR;131X;131X
50182009;0;ARTNR;CF 320 XC;CF320XC
50182009;0;PARTNR;653X;653X
50098758;0;ARTNR;CF 321 AC;CF321AC
40022912;0;EAN;0088698190197;0088698190197
50098758;0;PARTNR;653A;653A
50055404;0;EAN;0088698188323;0088698188323
50122047;0;ARTNR;CF 322 AC;CF322AC
50122047;0;PARTNR;653A;653A
50120243;0;ARTNR;CF 323 AC;CF323AC
50120243;0;PARTNR;653A;653A
50040043;0;EAN;0725184302145;0725184302145
50142176;0;ARTNR;CF 330 XC;CF330XC
50142176;0;PARTNR;654X;654X
50186139;0;ARTNR;CF 331 AC;CF331AC
50186139;0;PARTNR;654A;654A
50137120;0;ARTNR;CF 332 AC;CF332AC
50137120;0;PARTNR;654A;654A
50177936;0;ARTNR;CF 333 AC;CF333AC
50177936;0;PARTNR;654A;654A
50098972;0;ARTNR;CF 380 XC;CF380XC
50098972;0;PARTNR;312X;312X
50021927;1;ARTNR;C8765EE#ABB;C8765EE#ABB
50021928;1;ARTNR;C8767EE#ABB;C8767EE#ABB
50021929;1;ARTNR;C8766EE#ABB;C8766EE#ABB
50021930;1;ARTNR;C9363EE#ABB;C9363EE#ABB
50015214;1;ARTNR;C8728AE#ABB;C8728AE#ABB
50015213;1;ARTNR;C8727AE#ABB;C8727AE#ABB
50005157;1;ARTNR;C6578AE#ABB;C6578AE#ABB
50005160;1;ARTNR;C6615DE#ABB;C6615DE#ABB
50064321;1;ARTNR;C9351CE#ABB;C9351CE#ABB
50059125;1;ARTNR;CC643EE#ABB;CC643EE#ABB
50053667;3;ARTNR;CC653AE#ABB;CC653AE#ABB
50062153;1;ARTNR;CC641EE#ABB;CC641EE#ABB
50053737;1;ARTNR;CC644EE#ABB;CC644EE#ABB
50060037;1;ARTNR;C9352CE#ABB;C9352CE#ABB
50057447;1;ARTNR;CB316EE#ABB;CB316EE#ABB
50061913;3;ARTNR;CC654AE#ABB;CC654AE#ABB
50015108;2;PARTNR;NO 58;NO58
50014077;2;PARTNR;NO 49;NO49
50014851;1;PARTNR;NO 84;NO84
50013646;1;PARTNR;NO 11;NO11
50013647;1;PARTNR;NO 82;NO82
50013648;1;PARTNR;NO 82;NO82
50013649;1;PARTNR;NO 82;NO82
50013650;1;PARTNR;NO 81;NO81
50013651;1;PARTNR;NO 81;NO81
50013652;1;PARTNR;NO 81;NO81
50013654;1;PARTNR;NO 81;NO81
50013656;1;PARTNR;NO 81;NO81
50013657;1;PARTNR;NO 81;NO81
50013659;1;PARTNR;NO 81;NO81
50013661;1;PARTNR;NO 81;NO81
50013663;1;PARTNR;NO 81;NO81
50013664;1;PARTNR;NO 81;NO81
50013666;1;PARTNR;NO 81;NO81
50015189;1;PARTNR;NO 80;NO80
50015191;1;PARTNR;NO 80;NO80
50015192;1;PARTNR;NO 80;NO80
50014852;1;PARTNR;NO 84;NO84
50005101;2;PARTNR;NO 10;NO10
50005102;2;PARTNR;NO 10;NO10
50005104;1;PARTNR;NO 80;NO80
50005106;1;PARTNR;NO 80;NO80
50005107;1;PARTNR;NO 80;NO80
50005110;2;PARTNR;NO 10;NO10
50005111;2;PARTNR;NO 10;NO10
50005113;2;PARTNR;NO 80;NO80
50005114;2;PARTNR;NO 80;NO80
50005116;2;PARTNR;NO 80;NO80
50005117;1;PARTNR;NO 80;NO80
50005119;1;PARTNR;NO 80;NO80
50005157;5;PARTNR;NO 78;NO78
50005158;4;PARTNR;NO 78;NO78
50005159;1;PARTNR;NO 20;NO20
50005160;3;PARTNR;NO 15;NO15
50014523;2;PARTNR;NO 14;NO14
50014535;1;PARTNR;NO 83;NO83
50014537;1;PARTNR;NO 83;NO83
50014539;1;PARTNR;NO 83;NO83
50014541;2;PARTNR;NO 20;NO20
50015880;1;PARTNR;NO 12;NO12
50004906;2;PARTNR;NO 41;NO41
50004909;1;PARTNR;NO 44;NO44
50004911;1;PARTNR;NO 44;NO44
50004912;4;PARTNR;NO 45;NO45
50004917;1;PARTNR;NO 50;NO50
50004919;1;PARTNR;NO 50;NO50
50014521;2;PARTNR;NO 14;NO14
50004964;1;PARTNR;NO 06;NO06
50004967;1;PARTNR;NO 09;NO09
50004980;1;PARTNR;NO 92;NO92
50004982;1;PARTNR;NO 94;NO94
50015881;1;PARTNR;NO 12;NO12
50015883;1;PARTNR;NO 12;NO12
50015884;1;PARTNR;NO 12;NO12
50015747;1;PARTNR;NO 29;NO29
50015748;2;PARTNR;NO 45 SMALL;NO45SMALL
50005012;1;PARTNR;NO 844;NO844
50005013;1;PARTNR;NO 845;NO845
50004895;1;PARTNR;NO 33;NO33
50004898;1;PARTNR;NO 39;NO39
50004899;1;PARTNR;NO 39;NO39
50004900;1;PARTNR;NO 39;NO39
50004901;1;PARTNR;NO 39;NO39
50004902;2;PARTNR;NO 40;NO40
50004903;1;PARTNR;NO 40;NO40
50004904;1;PARTNR;NO 40;NO40
50014669;4;PARTNR;NO 57;NO57
50015214;3;PARTNR;NO 28;NO28
50004876;2;PARTNR;NO 26;NO26
50004999;1;PARTNR;NO 83;NO83
50005000;1;PARTNR;NO 83;NO83
50005002;1;PARTNR;NO 83;NO83
50005003;1;PARTNR;NO 83;NO83
50005007;1;PARTNR;NO 83;NO83
50005010;1;PARTNR;NO 81;NO81
50005015;1;PARTNR;NO 81;NO81
50016832;1;PARTNR;NO 83;NO83
50016834;1;PARTNR;NO 83;NO83
50016835;1;PARTNR;NO 83;NO83
50016837;1;PARTNR;NO 83;NO83
50016840;1;PARTNR;NO 83;NO83
50016842;1;PARTNR;NO 83;NO83
50021929;3;PARTNR;NO 343;NO343
50021930;3;PARTNR;NO 344;NO344
50021932;2;PARTNR;NO 348;NO348
50013168;3;PARTNR;NO 17;NO17
50027099;2;PARTNR;NO 363;NO363
50027100;2;PARTNR;NO 363;NO363
50027103;2;PARTNR;NO 363;NO363
50027105;2;PARTNR;NO 363;NO363
50013644;1;PARTNR;NO 11;NO11
50013645;1;PARTNR;NO 11;NO11
50023456;1;PARTNR;NO 85;NO85
50023457;1;PARTNR;NO 85;NO85
50028216;2;PARTNR;NO 88;NO88
50028217;2;PARTNR;NO 88;NO88
50028219;2;PARTNR;NO 88;NO88
50020921;1;PARTNR;NO 85;NO85
50020924;1;PARTNR;NO 85;NO85
50020926;1;PARTNR;NO 85;NO85
50020927;1;PARTNR;NO 85;NO85
50020928;1;PARTNR;NO 85;NO85
50020929;1;PARTNR;NO 85;NO85
50023460;1;PARTNR;NO 85;NO85
50028212;1;PARTNR;NO 88;NO88
50028214;2;PARTNR;NO 88;NO88
50020920;1;PARTNR;NO 85;NO85
50024515;1;PARTNR;NO 90;NO90
50024516;1;PARTNR;NO 90;NO90
50024517;1;PARTNR;NO 90;NO90
50024518;1;PARTNR;NO 90;NO90
50014850;1;PARTNR;NO 84;NO84
50014854;1;PARTNR;NO 84;NO84
50032639;1;PARTNR;NO 338;NO338
50016839;1;PARTNR;NO 83;NO83
50026668;2;PARTNR;NO 57;NO57
50029646;1;PARTNR;NO 780;NO780
50029647;1;PARTNR;NO 780;NO780
50029650;1;PARTNR;NO 780;NO780
50029651;1;PARTNR;NO 780;NO780
50024512;1;PARTNR;NO 90;NO90
50024513;1;PARTNR;NO 90;NO90
50029120;2;PARTNR;NO 45+78;NO4578
50029121;2;PARTNR;NO 45+23;NO4523
50024520;1;PARTNR;NO 90;NO90
50025352;2;PARTNR;NO 102;NO102
50025353;2;PARTNR;NO 101;NO101
50024522;1;PARTNR;NO 90;NO90
50024523;1;PARTNR;NO 90;NO90
50024524;1;PARTNR;NO 90;NO90
50024526;1;PARTNR;NO 90;NO90
50024527;1;PARTNR;NO 90;NO90
50024529;1;PARTNR;NO 90;NO90
50027441;3;PARTNR;NO 336;NO336
50027442;4;PARTNR;NO 342;NO342
50027446;1;PARTNR;NO 343+NO 348;NO343NO348
50027447;2;PARTNR;NO 57+NO 58;NO57NO58
50033523;1;PARTNR;NO 70;NO70
50033524;1;PARTNR;NO 70;NO70
50043783;2;PARTNR;NO 21+22;NO2122
50033543;2;PARTNR;NO 70;NO70
50033546;1;PARTNR;NO 70;NO70
50033547;1;PARTNR;NO 70;NO70
50033549;1;PARTNR;NO 70;NO70
50033550;1;PARTNR;NO 790;NO790
50029638;1;PARTNR;NO 790;NO790
50029640;1;PARTNR;NO 790;NO790
50029642;1;PARTNR;NO 790;NO790
50029644;1;PARTNR;NO 790;NO790
50030557;1;PARTNR;NO 38;NO38
50030559;1;PARTNR;NO 38;NO38
50033526;1;PARTNR;NO 70;NO70
50033528;1;PARTNR;NO 70;NO70
50033529;1;PARTNR;NO 70;NO70
50033531;1;PARTNR;NO 70;NO70
50033533;1;PARTNR;NO 70;NO70
50033534;1;PARTNR;NO 70;NO70
50033536;1;PARTNR;NO 70;NO70
50033539;1;PARTNR;NO 70;NO70
50033540;1;PARTNR;NO 70;NO70
50033542;1;PARTNR;NO 70;NO70
50027775;1;PARTNR;NO 343+NO 348;NO343NO348
50026619;3;PARTNR;NO 21;NO21
50062153;0;EAN;0883585763405;0883585763405
50062954;0;EAN;0088698601983;0088698601983
50061913;0;EAN;0883585763894;0883585763894
50054593;0;EAN;0883585764020;0883585764020
40089877;0;EAN;0883585419036;0883585419036
50015107;0;EAN;0725184712135;0725184712135
50054593;3;ARTNR;CC656AE#ABB;CC656AE#ABB
50050661;1;ARTNR;CB318EE#ABB;CB318EE#ABB
50048847;1;ARTNR;CB323EE#ABB;CB323EE#ABB
50046964;1;ARTNR;CB320EE#ABB;CB320EE#ABB
50050407;1;ARTNR;CB317EE#ABB;CB317EE#ABB
50047282;1;ARTNR;CB324EE#ABB;CB324EE#ABB
50054484;1;ARTNR;CB325EE#ABB;CB325EE#ABB
50048113;1;ARTNR;CB319EE#ABB;CB319EE#ABB
50044800;1;ARTNR;CB321EE#ABB;CB321EE#ABB
50047225;1;ARTNR;CB322EE#ABB;CB322EE#ABB
50013168;1;ARTNR;C6625AE#ABB;C6625AE#ABB
50026619;1;ARTNR;C9351AE#ABB;C9351AE#ABB
50026620;1;ARTNR;C9352AE#ABB;C9352AE#ABB
50027441;1;ARTNR;C9362EE#ABB;C9362EE#ABB
50027440;1;ARTNR;C9364EE#ABB;C9364EE#ABB
50027102;1;ARTNR;C8719EE#ABB;C8719EE#ABB
50027103;1;ARTNR;C8721EE#ABB;C8721EE#ABB
50004970;1;ARTNR;C1823DE#ABB;C1823DE#ABB
50036863;1;ARTNR;C6656GE#ABB;C6656GE#ABB
50036331;1;ARTNR;CB337EE#ABB;CB337EE#ABB
50036330;1;ARTNR;CB335EE#ABB;CB335EE#ABB
50036332;1;ARTNR;CB336EE#ABB;CB336EE#ABB
50036864;1;ARTNR;C6657GE#ABB;C6657GE#ABB
50036333;1;ARTNR;CB338EE#ABB;CB338EE#ABB
50040018;1;ARTNR;CB334AE#ABB;CB334AE#ABB
50064321;2;ARTNR;C9351CE#ABF;C9351CE#ABF
50050318;1;ARTNR;CC640EE#ABF;CC640EE#ABF
50062153;3;ARTNR;CC641EE#ABF;CC641EE#ABF
50059125;3;ARTNR;CC643EE#ABF;CC643EE#ABF
50053737;3;ARTNR;CC644EE#ABF;CC644EE#ABF
50060037;2;ARTNR;C9352CE#ABF;C9352CE#ABF
50036330;2;ARTNR;CB335EE#ABD;CB335EE#ABD
50036332;2;ARTNR;CB336EE#ABD;CB336EE#ABD
50036331;2;ARTNR;CB337EE#ABD;CB337EE#ABD
50036333;2;ARTNR;CB338EE#ABD;CB338EE#ABD
50050318;3;ARTNR;CC640EE#ABD;CC640EE#ABD
50059125;4;ARTNR;CC643EE#ABD;CC643EE#ABD
50021930;2;ARTNR;C9363EE#ABD;C9363EE#ABD
50026621;2;PARTNR;NO 13;NO13
50026622;2;PARTNR;NO 13;NO13
50029639;1;PARTNR;NO 790;NO790
50004980;0;EAN;0088698172384;0088698172384
50059729;0;EAN;0883585089499;0883585089499
50004964;0;EAN;0088698159774;0088698159774
40067736;0;EAN;0725184440786;0725184440786
50060124;0;EAN;0883585436026;0883585436026
50153210;0;PARTNR;02;02
50005139;0;EAN;0088698171752;0088698171752
50123593;0;PARTNR;21;21
40054755;0;EAN;0725184415883;0725184415883
